"int_id","StreetLength"
249,0
250,0
251,0
252,0
253,51.9252525459377
254,0
255,0
256,0
257,1.04773963079494
258,50.1177575404775
259,38.0033391040609
260,0
261,0
262,33.2338457206157
263,22.0345640911313
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,50.0167095016355
304,50.00686065039
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,28.7498834245733
362,67.9406740480307
363,51.610813520111
364,0
365,0
366,0
367,0
368,29.0177314590207
369,77.1634964604456
370,52.4237030597851
371,50.1961360687062
372,50.2539631963241
373,50.2524231943422
374,50.8428175450604
375,50.1616126553495
376,50.9001487857163
377,53.2843418044426
378,56.9121710344272
379,13.1949980406135
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,0
408,0
409,0
410,0
411,0
412,0
413,0
414,0
415,66.6232205201275
416,14.1613580310308
417,61.9885623182062
418,0
419,0
420,0
421,0
422,0
423,0
424,0
425,0
426,0
427,0
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,0
436,0
437,0
438,0
439,0
440,0
441,0
442,0
443,0
444,42.5530443384274
445,50.9057774198756
446,50.7244642305571
447,52.1069481660437
448,18.9128959045071
449,0
450,0
451,0
452,0
453,0
454,0
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,37.1197333047622
467,51.1976701075661
468,51.2060069255464
469,51.0735444076216
470,48.2346630879627
471,0
472,0
473,0
474,0
475,0
476,0
477,0
478,0
479,0
480,0
481,0
482,0
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,0
491,0
492,0
493,0
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,0
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,0
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,0
527,0
528,45.1389858336029
529,30.3095510885534
530,0
531,0
532,0
533,0
534,25.3264650041091
535,53.8800328501051
536,51.9020169712035
537,50.9736954805481
538,57.5162391453417
539,17.8341428372421
540,0
541,0
542,0
543,0
544,51.1583330362543
545,0
546,0
547,0
548,0
549,0
550,0
551,0
552,0
553,0
554,0
555,0
556,0
557,0
558,0
559,0
560,0
561,0
562,0
563,0
564,0
565,0
566,0
567,0
568,0
569,0
570,0
571,0
572,0
573,0
574,0
575,0
576,0
577,0
578,166.707865995803
579,144.516319055311
580,58.1424022079213
581,0
582,0
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,119.173465008453
594,3.46285236872928
595,0
596,0
597,40.8847527920482
598,57.9232888409183
599,0.58869178478894
600,0
601,0
602,0
603,0
604,0
605,0
606,0
607,0
608,0
609,0
610,51.1815135703143
611,12.7602393308991
612,52.7240282674479
613,52.8829362718469
614,39.6300868377857
615,0
616,0
617,55.1396046395973
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,22.2310259004997
629,50.3566837229917
630,62.2119347995782
631,100.679594175975
632,139.247696291203
633,151.005994291602
634,119.071290385414
635,100.625583583381
636,100.615390485176
637,62.9616756632321
638,50.3292108569025
639,23.1771850679956
640,0
641,0
642,0
643,0
644,0
645,0
